molecule,drain_1_Y__drain_1_N__mean_diff_log2,drain_1_Y__drain_1_N__mean_diff_foldchange,drain_1_Y__drain_1_N__auc,drain_1_Y__drain_1_N__pval_wilcoxon,drain_1_Y__drain_1_N__fdr_wilcoxon,drain_2_Y__drain_2_N__mean_diff_log2,drain_2_Y__drain_2_N__mean_diff_foldchange,drain_2_Y__drain_2_N__auc,drain_2_Y__drain_2_N__pval_wilcoxon,drain_2_Y__drain_2_N__fdr_wilcoxon,drain_3_Y__drain_3_N__mean_diff_log2,drain_3_Y__drain_3_N__mean_diff_foldchange,drain_3_Y__drain_3_N__auc,drain_3_Y__drain_3_N__pval_wilcoxon,drain_3_Y__drain_3_N__fdr_wilcoxon,Y__N__mean_diff_log2,Y__N__mean_diff_foldchange,Y__N__auc,Y__N__pval_wilcoxon,Y__N__fdr_wilcoxon
AD1,0.9,1.8,0.55,0.61,0.63,3.1,8.4,0.83,5.4e-4,0.0018,4.4,21.7,0.94,0.0021,0.0047,5.2,36.1,0.93,1.6e-11,1.4e-10
pos_1685.23651_10.418,0.9,1.8,0.58,0.38,0.4,2.2,4.6,0.81,0.0011,0.0031,2.6,6.1,0.85,0.015,0.022,4.2,18.3,0.92,5.3e-13,2.3e-11
pos_215.03473_5.386,0.8,1.7,0.73,0.011,0.016,1.6,3,0.78,0.0026,0.0052,2,4,0.81,0.036,0.047,1.1,2.1,0.72,4.9e-4,0.0018
pos_461.33469_13.882,1.1,2.1,0.71,0.021,0.029,1.6,3,0.79,0.0017,0.0041,2.4,5.1,0.89,0.0055,0.0087,3.1,8.6,0.88,3.3e-10,2e-9
pos_143.11832_1.314,0.5,1.4,0.58,0.39,0.41,0.4,1.3,0.54,0.66,0.66,1.6,2.9,0.68,0.24,0.26,4.6,23.9,0.91,3.5e-12,7.8e-11
pos_244.22611_1.022,1.4,2.6,0.63,0.15,0.17,1.6,2.9,0.78,0.0032,0.0062,2.2,4.6,0.74,0.11,0.14,3.9,15.3,0.88,3.3e-10,2e-9
pos_333.13215_6.697,1.8,3.5,0.75,0.0051,0.0087,3,7.8,0.79,0.0019,0.0044,3.7,13,0.86,0.011,0.016,3.5,11.7,0.9,7.5e-12,9e-11
pos_218.12658_4.867,1.4,2.6,0.71,0.024,0.033,2,4,0.81,8.4e-4,0.0026,3.2,9.5,0.93,0.0016,0.004,3.3,9.7,0.85,1.2e-8,5.8e-8
pos_216.14734_4.603,1.6,3,0.68,0.052,0.065,2.7,6.3,0.8,0.0015,0.004,3.7,13.3,0.92,0.0025,0.0052,3.4,10.8,0.82,3.3e-7,1.5e-6
pos_556.32152_5.537,2,3.9,0.76,0.0044,0.0077,2.6,6.2,0.77,0.004,0.0073,3.9,14.8,0.97,3.3e-4,0.0013,4.5,22,0.86,2.7e-9,1.5e-8
pos_1077.58075_5.559,1.1,2.1,0.66,0.09,0.11,0.6,1.5,0.62,0.2,0.23,3.5,11,0.89,0.0055,0.0087,4.1,17,0.9,8.2e-12,9e-11
